"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time"
"7" "SRR3681511" "SRR3681502" 0.540626562807706 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 -1 2 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0" 0
"8" "SRR3681512" "SRR3681502" 0.774278786021529 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"9" "SRR3681513" "SRR3681502" 0.771994905554473 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"11" "SRR3681515" "SRR3681502" 0.760943337935864 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"12" "SRR3681516" "SRR3681502" 0.768807859322692 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"13" "SRR3681517" "SRR3681502" 0.726235484947089 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"14" "SRR3681518" "SRR3681502" 0.735323441082651 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 2 -1 4 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.2" 2
"15" "SRR3681519" "SRR3681502" 0.715324825928274 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 2 -1 4 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.2" 2
"16" "SRR3681520" "SRR3681502" 0.740336006921738 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 2 -1 4 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.2" 2
"17" "SRR3681521" "SRR3681502" 0.757696027060694 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 -1 5 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"18" "SRR3681522" "SRR3681502" 0.751705187649813 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 -1 5 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"19" "SRR3681523" "SRR3681502" 0.76959663574294 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 -1 5 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"22" "SRR3681529" "SRR3681502" 0.722083632975381 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 -1 2 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0" 0
"23" "SRR3681530" "SRR3681502" 0.738629089456482 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"24" "SRR3681531" "SRR3681502" 0.735639004431253 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"25" "SRR3681532" "SRR3681502" 0.789290589472425 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
