"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "nmodel.Zscores" "nmodel.sds" "nmodel.means" "Rank" "Rank." "Time" "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time"
"7" "SRR3681511" "SRR3681502" 0.540626562807706 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 -1 -154.977366997668 0.00295707757288878 0.998906659061864 2 1 0 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0"
"8" "SRR3681512" "SRR3681502" 0.774278786021529 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -94.7452191254424 0.0023662706273243 0.998471615117468 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"9" "SRR3681513" "SRR3681502" 0.771994905554473 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -90.2291488871643 0.00251107202084868 0.998566796790021 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"11" "SRR3681515" "SRR3681502" 0.760943337935864 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -81.7037297227614 0.00290791228879227 0.998530617636844 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"12" "SRR3681516" "SRR3681502" 0.768807859322692 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -89.7355522713958 0.00256402591761923 0.998892141078426 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"13" "SRR3681517" "SRR3681502" 0.726235484947089 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -90.885230688259 0.00299939449961823 0.998836145969987 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"14" "SRR3681518" "SRR3681502" 0.735323441082651 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 2 -1 -87.8567272125299 0.00299857453742881 0.998768386243972 4 1 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.2"
"15" "SRR3681519" "SRR3681502" 0.715324825928274 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 2 -1 -94.6641379406155 0.00299392368567074 0.998742030692285 4 1 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.2"
"16" "SRR3681520" "SRR3681502" 0.740336006921738 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 2 -1 -89.6519030160499 0.00288054103794953 0.998581992689741 4 1 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.2"
"17" "SRR3681521" "SRR3681502" 0.757696027060694 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 -1 -79.3599244542621 0.00303533316147653 0.998579837448988 5 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3"
