"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time" "nmodel.means" "nmodel.sds" "nmodel.Zscores"
"7" "SRR3681511" "SRR3681502" 0.562057866035781 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 -1 2 1 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0" 0 0.999160129227418 0.00236621567931395 -184.726298203876
"8" "SRR3681512" "SRR3681502" 0.769649089380167 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998690347017276 0.00232200833510715 -98.6392917605699
"9" "SRR3681513" "SRR3681502" 0.77613530139288 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998751588785196 0.00230989438103707 -96.3750936925388
"11" "SRR3681515" "SRR3681502" 0.776864204883468 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998949890048437 0.00226829853770687 -97.908490206711
"12" "SRR3681516" "SRR3681502" 0.764830683368642 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.99899355522313 0.00256905657295872 -91.1474174291181
"13" "SRR3681517" "SRR3681502" 0.722685741791659 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.999194776948017 0.00221516902404087 -124.825253583564
"14" "SRR3681518" "SRR3681502" 0.712155671479082 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 2 -1 4 1 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.2" 2 0.9991860148261 0.0020457842353759 -140.303331301347
"15" "SRR3681519" "SRR3681502" 0.719083818322003 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 2 -1 4 1 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.2" 2 0.999162391538796 0.00219735775396294 -127.461526331646
"16" "SRR3681520" "SRR3681502" 0.728051875750478 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 2 -1 4 1 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.2" 2 0.999014749249795 0.00252975601316987 -107.110279445404
"17" "SRR3681521" "SRR3681502" 0.757322920817919 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 -1 5 1 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3 0.999142686049402 0.00197618227689918 -122.36713589544
