"Observed" "Shannon" "Simpson" "Hill_Simpson" "Study" "Environment" "Environment_Sub" "Extraction_Kit" "DNA_Fragment" "Time_since_dist" "Disturbance" "Experimental_Unit_ID" "Selective_Factor" "Legacy" "Keep" "StudyxDisturbance" "repID" "Time_series" "Time_series_Time" "sample_sums" "Design" "Rank"
"SRR3681502" 64 3.22218991720599 0.919565333333333 12.4324503530816 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" -1 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.-1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 2379 "Repeated" 1
"SRR3681503" 73 3.55646006999242 0.937122666666667 15.9039823571822 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 0 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.0.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.0" 1933 "Repeated" 2
"SRR3681504" 209 4.01710155036301 0.958987555555556 24.3828431478792 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 3 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.3.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.3" 93984 "Repeated" 5
"SRR3681505" 260 4.35753690575117 0.970864 34.3218012081274 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 3 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.3.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.3" 123115 "Repeated" 5
"SRR3681506" 244 4.18531839111673 0.962473777777778 26.6480327830021 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 3 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.3.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.3" 101122 "Repeated" 5
"SRR3681510" 236 3.89067331428105 0.921824 12.7916496111339 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" -1 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.-1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 18181 "Repeated" 1
"SRR3681511" 142 3.33152656867117 0.892946666666667 9.34113837339644 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 0 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.0.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.0" 9940 "Repeated" 2
"SRR3681512" 426 5.25285474837564 0.986838222222222 75.977578172486 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 63511 "Repeated" 3
"SRR3681513" 362 5.05321517187814 0.986181333333333 72.3658818988807 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 73895 "Repeated" 3
"SRR3681514" 38 2.92066246110359 0.913504 11.5612282648909 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1767 "Repeated" 3
"SRR3681515" 286 4.43857841169781 0.965064888888889 28.6244974810442 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 105240 "Repeated" 3
"SRR3681516" 234 4.18271351987575 0.962222222222222 26.4705882352941 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 96139 "Repeated" 3
"SRR3681517" 172 3.84484686688457 0.952896 21.2296195652174 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 81604 "Repeated" 3
