"Observed" "Shannon" "Simpson" "Hill_Simpson" "Study" "Environment" "Environment_Sub" "Extraction_Kit" "DNA_Fragment" "Time_since_dist" "Disturbance" "Experimental_Unit_ID" "Selective_Factor" "Legacy" "Keep" "StudyxDisturbance" "repID" "Time_series" "Time_series_Time" "sample_sums" "Design" "nReps" "Rank"
"SRR3681502" 66 3.24487785051433 0.920128790128012 12.5201559060233 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" -1 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.-1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1767 "Repeated" 3 1
"SRR3681503" 73 3.57439939208391 0.938870809204401 16.3587966237563 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 0 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.0.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.0" 1767 "Repeated" 3 2
"SRR3681504" 217 4.04592692003981 0.959289803089977 24.5638703789661 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 3 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.3.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.3" 1767 "Repeated" 6 5
"SRR3681505" 286 4.43959581941024 0.971669823004853 35.2980498558589 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 3 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.3.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.3" 1767 "Repeated" 6 5
"SRR3681506" 258 4.16831396563228 0.962344613198842 26.5566253582941 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 3 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.3.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.3" 1767 "Repeated" 6 5
"SRR3681510" 237 3.91243240281678 0.930544866282397 14.3977838134456 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" -1 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.-1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1767 "Repeated" 3 1
"SRR3681511" 149 3.32026073393936 0.888688394956393 8.98378924289377 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 0 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.0.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.0" 1767 "Repeated" 3 2
"SRR3681512" 455 5.23057007389106 0.985848523310943 70.6640036211384 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1767 "Repeated" 12 3
"SRR3681513" 399 5.11236426298257 0.986332142860574 73.1643585237258 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "2" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1767 "Repeated" 12 3
"SRR3681514" 39 2.97144596545494 0.918681774813286 12.2973662755663 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "1" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1767 "Repeated" 12 3
