"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time"
"6" "SRR3681510" "SRR3681502" 0.652348630729219 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 -1 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" -1
"21" "SRR3681528" "SRR3681502" 0.57704462014123 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 -1 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" -1
"34" "SRR3681511" "SRR3681503" 0.685873197747214 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 0 2 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0" 0
"49" "SRR3681529" "SRR3681503" 0.810569239958623 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 0 2 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0" 0
"71" "SRR3681521" "SRR3681504" 0.430398959226107 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"72" "SRR3681522" "SRR3681504" 0.449294546410523 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"73" "SRR3681523" "SRR3681504" 0.454527279934954 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"98" "SRR3681521" "SRR3681505" 0.466754890823657 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"99" "SRR3681522" "SRR3681505" 0.457721455162273 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"100" "SRR3681523" "SRR3681505" 0.459804572653071 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"125" "SRR3681521" "SRR3681506" 0.486628528085179 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"126" "SRR3681522" "SRR3681506" 0.460712048179024 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"127" "SRR3681523" "SRR3681506" 0.448315410220655 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"156" "SRR3681528" "SRR3681510" 0.576234378672207 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 -1 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" -1
