"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time"
"6" "SRR3681510" "SRR3681502" 0.628820790229628 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 -1 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" -1
"21" "SRR3681528" "SRR3681502" 0.574338378570045 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 -1 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" -1
"34" "SRR3681511" "SRR3681503" 0.690133723316436 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 0 2 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0" 0
"49" "SRR3681529" "SRR3681503" 0.814997628825261 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 0 2 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0" 0
"71" "SRR3681521" "SRR3681504" 0.446057047766029 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"72" "SRR3681522" "SRR3681504" 0.460390889826022 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"73" "SRR3681523" "SRR3681504" 0.452813416064308 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"98" "SRR3681521" "SRR3681505" 0.435824279034541 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"99" "SRR3681522" "SRR3681505" 0.45273675321253 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
"100" "SRR3681523" "SRR3681505" 0.4365198538444 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3
