"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "nmodel.Zscores" "nmodel.sds" "nmodel.means" "Rank" "Rank." "Time" "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time"
"6" "SRR3681510" "SRR3681502" 0.652348630729219 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 -1 -122.792020257295 0.00282061589993408 0.998697755451974 1 1 -1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"21" "SRR3681528" "SRR3681502" 0.57704462014123 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 -1 -152.753937854172 0.00276125759809976 0.99883759168072 1 1 -1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"34" "SRR3681511" "SRR3681503" 0.685873197747214 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 0 -112.588347230159 0.0027806368098973 0.998940500420894 2 2 0 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0"
"49" "SRR3681529" "SRR3681503" 0.810569239958623 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 0 -80.7413506790042 0.00232783058033007 0.998521425166363 2 2 0 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0"
"71" "SRR3681521" "SRR3681504" 0.430398959226107 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 -182.051499009248 0.00311371067615867 0.997254655301891 5 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3"
"72" "SRR3681522" "SRR3681504" 0.449294546410523 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 -186.307513307632 0.00294216390957897 0.997441788147641 5 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3"
"73" "SRR3681523" "SRR3681504" 0.454527279934954 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 -180.124673916958 0.0030138515915011 0.997396315088196 5 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3"
"98" "SRR3681521" "SRR3681505" 0.466754890823657 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 -172.581088332611 0.00307232928579297 0.99698082268196 5 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3"
"99" "SRR3681522" "SRR3681505" 0.457721455162273 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 -178.592477422161 0.003020590629018 0.997176218876762 5 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3"
"100" "SRR3681523" "SRR3681505" 0.459804572653071 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 -182.204825921319 0.00294935703445013 0.997191657694876 5 5 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3"
