"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time" "nmodel.means" "nmodel.sds" "nmodel.Zscores"
"6" "SRR3681510" "SRR3681502" 0.628820790229628 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 -1 1 1 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" -1 0.999008984509535 0.00251763557027916 -147.038037851864
"21" "SRR3681528" "SRR3681502" 0.574338378570045 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 -1 1 1 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" -1 0.999128874472043 0.00239906409970794 -177.065087987317
"34" "SRR3681511" "SRR3681503" 0.690133723316436 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 0 2 2 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0" 0 0.999122612121833 0.00232902885038446 -132.668553570898
"49" "SRR3681529" "SRR3681503" 0.814997628825261 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 0 2 2 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0" 0 0.998734851822151 0.00226655742148133 -81.0644465723735
"71" "SRR3681521" "SRR3681504" 0.446057047766029 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3 0.997874367220173 0.0024542876727847 -224.838076470489
"72" "SRR3681522" "SRR3681504" 0.460390889826022 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3 0.998163905858552 0.00246686749698794 -217.998338657894
"73" "SRR3681523" "SRR3681504" 0.452813416064308 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3 0.997932208132901 0.00272133109826448 -200.313292423785
"98" "SRR3681521" "SRR3681505" 0.435824279034541 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3 0.99734033794331 0.00270324386035907 -207.719350496993
"99" "SRR3681522" "SRR3681505" 0.45273675321253 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3 0.997781565683583 0.00242491660188214 -224.768477418155
"100" "SRR3681523" "SRR3681505" 0.4365198538444 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3 0.997581443481518 0.00279675117462404 -200.611908105318
"125" "SRR3681521" "SRR3681506" 0.462101548647534 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 3 3 5 5 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.3" 3 0.997518902759264 0.00267109626350699 -200.448542954704
